id,date,datetime,category,headline,summary,source,url,related,image
7670711,2026-03-20 15:56:52,1774022212,business,NATO withdraws troops from Iraq mission to Europe as Iran war rages - Reuters,NATO withdraws troops from Iraq mission to Europe as Iran war rages  Reuters,Reuters,https://news.google.com/rss/articles/CBMiuwFBVV95cUxORHZrQk1BTFNOV2h1Y1FDV2pPeV9BeHVvVnZNWTdxOGlpWnBCOFlHQnhtamcyUW1tREd6SzVOSmM4UXZ5UjJXWGFHZ0tSZmNacG9jWlJPanIzTm1ETXBlbHZJMmo4b1lvWnFzd3NmaDJHaGxIZy1MSy02cHQ4bE4zNFJSZVlQOTVTTDNyS2dBTC1uMFZwTHg1OTJvSXpQbEZlTVVGdmdveFhXcHVEdW91bGlPd2FmMWlaU0tZ?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671340,2026-03-20 15:47:00,1774021620,business,"Remote Spanish airport again becomes parking lot for planes, this time due to Iran war - Reuters","Remote Spanish airport again becomes parking lot for planes, this time due to Iran war  Reuters",Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPZjU3R3kwZHhITzJsc3JfS3lDVzBWRk8zODNZcVJiZmNNbnpzeVJLSlIyaXozSFZHbVhRMXJvTnA4YmE2dkJSWUNMUV9FNHlaZ2lwUDFvWFhyOEgtOVRtWUt1S0czZzkyd1A1SEdkNVlCaEpVQ2Y3OVdhaFFCekx6UktDMUhnd2pjNlhJd3VMSk5MVHU4MlYwVm4tVzJBWmRfa040bnpxRnJhbmxqOGdoMjVsb1BHTXR4X2l4T3U4bkYySXlXSTlneDNOQUdGemtLUUFIWTBQMUU?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670284,2026-03-20 15:26:30,1774020390,business,David Zaslav’s WBD-Paramount deal payout highlights new 'golden parachutes' for CEOs,WBD CEO David Zaslav could see a payout of more than $800 million after the Paramount Skydance merger.,CNBC,https://www.cnbc.com/2026/03/20/wbd-david-zaslav-pay-paramount.html,,https://image.cnbcfm.com/api/v1/image/107350533-1703170043204-gettyimages-1258651995-AFP_33J949J.jpeg?v=1774009094&w=1920&h=1080
7671342,2026-03-20 15:24:17,1774020257,business,Dubai property sector shows early signs of weakness - Reuters,Dubai property sector shows early signs of weakness  Reuters,Reuters,https://news.google.com/rss/articles/CBMipAFBVV95cUxNRE5TWVZqUWNtMmY4MnpISGdYV2tZX1EtVlJKdUlBbXlZMHJYR1oweVMtME0wZ0daaDExVXYzekI0OGk4cGJsbUZiX0VqSkQzcnV6T2xMRURRWHNEQXBQTHNkWlNqQmFXR0J1YWhuOUhJd0VEMk9GYTNuSDFTZ3dkTzFLVG1Zbm4yYkJlYWViUUE0NVR0aVMwQXpsV3hFT0VXaFM1bg?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670283,2026-03-20 15:20:44,1774020044,top news,"Elizabeth Warren demands answers on costs, economic impact of 'illegal and reckless war'","The liberal Democratic firebrand ripped President Donald Trump, whom she said has 'dragged the United States into an illegal and reckless war.'",CNBC,https://www.cnbc.com/2026/03/20/elizabeth-warren-demands-answers-on-costs-economic-impact-of-illegal-and-reckless-war.html,,https://image.cnbcfm.com/api/v1/image/108270187-1772060438177-gettyimages-2260791744-ATKINS_SENATE_BANKING.jpeg?v=1772060538&w=1920&h=1080
7671021,2026-03-20 15:17:59,1774019879,business,"Iran Supreme Leader names new year 'resistance economy', denies role in attacks on Turkey, Oman - Reuters","Iran Supreme Leader names new year 'resistance economy', denies role in attacks on Turkey, Oman  Reuters",Reuters,https://news.google.com/rss/articles/CBMizwFBVV95cUxOM21lbDVXVUtpNzljSDBQeTl2ZTZldEw4c2JkMUZwRXBRbGhOdUxtLWhSLXRVaDk4ckl3VnB3VEVaS2hYVEFMbHFWSDByeTJQZWdfcWFIX1VJNUhaM1lULXBmT0lJWlc3VFhRZ1ZjcVQ1cmVQVnVXdzlHcEU5dDQ3TFFUNHJERTdhbmZSRlZILXdvUW9hVXVtRUN0SXVUcEJuS3lXZlg4OWhZZldGUGlqMFFJWmJNWWJGOGE2TW5hbG1lQXdVWkhMTmQ4WFlSM3c?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671749,2026-03-20 15:12:51,1774019571,business,Trump says there are no leaders in Iran left to talk to - Reuters,Trump says there are no leaders in Iran left to talk to  Reuters,Reuters,https://news.google.com/rss/articles/CBMikgFBVV95cUxQZkl6aHhQcDZRTDlmQkZIT21Oa014dVYtYS11Z0J1d0RkVDJKQzIwTWpHYTEwM3BhS2JFdGFJdXhGUURBeUFtU1BCMHBBMTJPYVBkNG9YVzZrQ0ZZMXFQaDQ1QmZqVTVGRWR4elc1M0lBeU1PdnlRZ0sxWTN4djFVTEFhQTcta05mOUtub1Z5U2dEZw?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671124,2026-03-20 14:56:10,1774018570,business,NATO says it is 'adjusting' mission in Iraq after report of withdrawal of personnel - Reuters,NATO says it is 'adjusting' mission in Iraq after report of withdrawal of personnel  Reuters,Reuters,https://news.google.com/rss/articles/CBMixAFBVV95cUxNZ3g1QkZBMDFLdTlqeGUyam5nVE9fRGlSTTV4OGtWTHNudVRnejRKRmJRQWRrbDE5bjhjdVdpSEZidm1LVjFiaDIxYlR6YXZvdzUxSU5KNmIteGdhOVI2eTBxd0xkOWY1dmN5U1pXekRZeGphbVc3MEJzZlBxV0c5MXZWX0JiMXZmdkpXcHhVZmhOTWJNS1Aza09JU21kZkxGa3pNcUUzVFBxWjF1SXdPLXYyeFlobERSSFpBdHZveTlQNUJ5?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671022,2026-03-20 14:54:19,1774018459,business,Iran's new Supreme Leader to issue message within minutes for Persian New Year - Reuters,Iran's new Supreme Leader to issue message within minutes for Persian New Year  Reuters,Reuters,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNRGVWWkFqbmtuc3JlYjN5MXFaWkMwblhaYWtLTU9ZY3BsUmVfNzQzRGhRdFVNWHh1cXhpaVFlbm1MdnN4UDBySFhhMGRRak9xMlBMUldiWVpfMDhZQlN3a3BtZlRTQkNJdDhzOGp0TUtRaVV0Y1pyQXd6bTBwNXE5eGxnZGhWXzRIYWtmZ2hZZ3FGang4VDIxQU83TmdnZ1VJTXNmSkxUVXlCWVZTa0hPS2ZtdG5uYzdpckdDZWNkSFVvZw?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670293,2026-03-20 14:29:28,1774016968,business,"US to deploy thousands of additional troops to the Middle East, officials say - Reuters","US to deploy thousands of additional troops to the Middle East, officials say  Reuters",Reuters,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPX3hIQXE0X0hDSWtZMkkxMU5ZR0xPOUNzY2tMNklXMmxYWGVZOHp1UHd0WDhvVkhIMW90Zzh4aXEzYi02QmpHcEtvVU1YQlZuUm1SeTlKRzFRcFpqd05WYlNlZG50SnN3U1U5SWNqMWpCcnFQdENXeEE5NVJ0SDdRVGNKY2VuMjVUUUttbXR5aDhGRFpNUGVBemdMbDFNVjRMTHl3REsyTmo?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
